featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Moru Kimod,Moru Kimod,,34.38333335,5.84166665,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Natibok,Natibok,,34.2833333,5.86666665,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Kanopir,Kanopir,,33.8666667,5.8666667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Kabalatigo,Kabalatigo,,34.4333333,5.8666667,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Neria,Neria,,34.0855646,5.8833333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Ngechele,Ngechele,,33.82152743,5.892327185,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Mathiang,Mathiang,,31.67235295,5.925911492,Lakes,Awerial,Puluk,Kalthok,47,31.22974327,6.151294944,1357,31.62196947,5.930314733,330,31.49461084,5.975060563
Kenamuke Swamp,Kenamuke Swamp,,33.79172019,5.928496759,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Panwel,Panwel,,31.69544,5.93183,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Lochiret,Lochiret,,34.1666667,5.95,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Kaigo,Kaigo,,31.67816104,5.961467438,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Maktiweng,Maktiweng,,31.83828363,5.969020885,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Pariak,Pariak,,31.66011438,5.972196687,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Lowelli,Lowelli,,33.75,5.9833333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Katchikan,Katchikan,,34.25,5.9833333,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
River Bellel,River Bellel,,34.3,5.9833333,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Kichepo,Kichepo,,34.50833335,5.9833333,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Rigl Chilimun,Rigl Chilimun,,34.0333333,6.0166667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Logoda,Logoda,,34.88333335,6.0333333,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Mabior Kech,Mabior Kech,,31.62027778,6.03944445,Lakes,Awerial,Puluk,Ming-kaman,47,31.22974327,6.151294944,1358,31.45253484,5.990625448,330,31.49461084,5.975060563
Jalango,Jalango,,31.64526084,6.0485095,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Wowa,Wowa,,34.55,6.05,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Malek,Malek,,31.60638889,6.0675,Lakes,Awerial,Puluk,Ming-kaman,47,31.22974327,6.151294944,1358,31.45253484,5.990625448,330,31.49461084,5.975060563
Katanich,Katanich,,33.65,6.0833333,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Titong,Titong,,34.5166667,6.0833333,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Munini,Munini,,34.9833333,6.0833333,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Awan,Awan,,31.8,6.1,Jonglei,Bor South,Kolnyang,Chuei-keer,15,32.00685054,6.467431196,387,32.21415628,6.016325412,95,32.09564966,6.01032281
Aluk,Aluk,Aluk A,31.78761001,6.101545632,Jonglei,Bor South,Kolnyang,Chuei-keer,15,32.00685054,6.467431196,387,32.21415628,6.016325412,95,32.09564966,6.01032281
Kolnyang,Kolnyang,,31.73063316,6.136060616,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Gwalla,Gwalla,,31.71,6.11,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Cuei Machar,Cuei Machar,,31.70059037,6.111271218,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Pajok,Pajok,,34.0666667,6.1166667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Tukls,Tukls,,31.74,6.12,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Wurrier,Wurrier,,31.7314764,6.128568197,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Karita,Karita,,34.25,6.1333333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Nyelichu,Nyelichu,,34.4166667,6.1333333,Jonglei,Pibor,Kiziongora,Angaimo,20,33.57175977,6.397469744,512,34.40942304,6.138664171,124,33.98699827,6.16269383
Balwan,Balwan,,34.5666667,6.15,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Nongwoli,Nongwoli,,33.60867039,6.151951919,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Adol,Adol,,31.73061484,6.15312566,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Melwal,Melwal,,31.57571465,6.160128192,Jonglei,Bor South,Bor,Panapet,15,32.00685054,6.467431196,381,31.62297033,6.188632527,93,31.58312442,6.240833504
Makjokoy,Makjokoy,,31.77621594,6.160928813,Jonglei,Bor South,Kolnyang,Gak,15,32.00685054,6.467431196,388,31.68081815,6.143368508,95,32.09564966,6.01032281
"Jalle, Baidet & Kolunyang","Jalle, Baidet & Kolunyang",,31.74831,6.16353,Jonglei,Bor South,Kolnyang,Gak,15,32.00685054,6.467431196,388,31.68081815,6.143368508,95,32.09564966,6.01032281
Gurbi,Gurbi,,34.65,6.1666667,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Gurgo,Gurgo,,34.7,6.1666667,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Upper Boma,Upper Boma,,34.46025478,6.168535127,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
